Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Anomalies across the globe: Once public, no longer existent?","The United States experiences a significant decline in long/short returns after publicizing stock market anomalies, highlighting the need for data mining and market segmentation strategies.","Heiko Jacobs, Sebastian Müller",2020,168,"Motivated by McLean and Pontiff (2016), we study the pre- and post-publication return predictability of 138 anomalies in 39 stock markets. Based on more than a million anomaly country-months, we find that the United States is the only country with a statistically significant and economically meaningful post-publication decline in long/short returns. The surprisingly large differences between the U.S. and international markets cannot be fully explained with general time effects or differences in limits to arbitrage, in-sample anomaly profitability, data availability, or local risk factor exposure. Our results have implications for the recent literature on arbitrage trading, data mining, and market segmentation.","longitudinal / panel data study","Journal of Financial Economics","1","10.2139/ssrn.2816490","https://consensus.app/papers/anomalies-across-the-globe-once-public-no-longer-existent-jacobs-m%C3%BCller/eae18571c78b55a8b4cc1738688b7200/"
"Does Academic Research Destroy Stock Return Predictability ?","Academic research on stock returns may lead to statistical biases and price pressure from aware investors, potentially reducing stock return predictability out of sample.","R. D. Mclean, Jeff Pontiff, Luxembourg Asset, Management Conference, Turan G. Bali, Shane Corwin, Mark Bradshaw, Alex Edmans, Lian Fen, Bruce Grundy, Pierluigi Balduzzi, David Chapman, Francesco Franzoni, Xiaohui Gao, Clifford G. Holderness, Darren J. Kisgen, O. Lamont, Jay R. Ritter, Robin Greenwood, Paul Schultz, Bruno Skolnik, Jeremy C. Stein, M. Suominen, Allan Timmermann",2012,0,"We study the out-of-sample and post-publication return-predictability of 82 characteristics that are identified in the academic literature. The average out-of-sample decay due to statistical bias is about 10%, but not statistically different from zero. The average post-publication decay, which we attribute to both statistical bias and price pressure from aware investors, is about 35%, and statistically different from both 0% and 100%. Consistent with informed trading, after publication, stocks in anomaly portfolios experience higher volume, variance, and short interest, and higher correlations with portfolios that are based on published anomalies. Consistent with costly (limited) arbitrage, the post-publication return decline is greater for anomaly portfolios that consist of stocks that are large, liquid, have high dividend yields, and have low idiosyncratic risk. * We are grateful to the Q Group and the Dauphine-Amundi Chair in Asset Management for financial support. We thank participants at the Financial Research Association’s 2011 early ideas session, seminar participants at Babson College, Brandeis University, Boston College, CKGSB, HBS, MIT, University of Toronto, City University of Hong Kong International Conference, Finance Down Under Conference 2012, University of Georgia, University of Washington Summer Conference, European Finance Association (Copenhagen), 1 st Luxembourg Asset Management Conference, and Turan Bali, Shane Corwin, Mark Bradshaw, Alex Edmans, Lian Fen, Bruce Grundy, Pierluigi Balduzzi, David Chapman, Francesco Franzoni, Xiaohui Gao, Clifford Holderness, Darren Kisgen, Owen Lamont, Jay Ritter, Robin Greenwood, Paul Schultz, Bruno Skolnik, Jeremy Stein, Matti Suominen, Allan Timmermann, Michela Verado, and Artie Woodgate for helpful conversations. 1 Finance research has uncovered many cross-sectional relations between predetermined variables and future stock returns. Beyond historical curiosity, these relations are relevant to the extent that they provide insight into the future. Whether or not the typical relation continues outside of the study’s original sample is an open question. 1 Many papers note whether a few, specific cross-sectional relations continue, although they often have contradictory messages about out-of-sample predictability. Inference from a study of a small number of anomalies can be clouded by uncertainty of how the anomalies where selected. The publication process may favor follow-up studies that support the original study, thus the results of a particular study will not provide reliable evidence of how a typical anomaly fares post-publication. Some of the relations between characteristics and returns that we consider are consistent with rational asset pricing models, while some are anomalous. We abstain from differentiating between characteristics and refer, loosely, to all characteristics as “anomalies.” This paper provides a novel attempt to synthesize information from 82 characteristics that have been shown to explain cross-sectional stock return variation in peer reviewed finance, accounting, and economics journals. Publication may have no impact on post-publication anomalies. Cochrane (1999) contends that predictability is the outcome of rational asset pricing. Publication does not affect the information used by rational agents, so return predictability should be unaffected by publication. Examples of rational asset pricing include returns reflecting compensation for covariance with the market portfolio, such as Sharpe (1964), or compensation for transaction costs, such as Amihud and Mendelson (1986). These models assume that agents have rational expectations, and suggest that publication of the cross-sectional result should not affect the perceived marginal cost 1 We focus on cross-sectional variables. For an analysis of the performance of time-series variables, see Goyal and Welch (2008). For an analysis of calendar effects, see Sullivan, Timmermann, and White (2011) 2 that drives expected return differences. If this is the case, inand out-of-sample returnpredictability should be similar. 2 If anomalies are purely the result of statistical biases, then we would expect them to disappear out of sample. We use the term “statistical biases” to describe a broad array of biases that are inherent to published research. Leamer (1978) investigates the impact of “specification search” biases. These biases occur if the choice of model is influenced by the data used to test the model. Lo and MacKinlay (1990) examine a specific type of specification search bias found in finance, which they refer to as the “data snooping bias.” This effect arises when researchers form portfolios to show that a characteristic is related to future returns, and the choice of how the portfolios are formed is affected by the result. A second type of bias is sample selection bias, studied in Heckman (1979), where the data used for estimation is influenced by the result of the test. A third type of bias, considered by Hedges (1992), is that the publication of a study could be correlated with the magnitude of the test statistic that the study produces. A fourth type of bias occurs if a strategy’s spuriously high returns attract academic attention to the strategy, and thus, making the publication date endogenous. 3 Fama (1991) also describes a publication bias, when he notes that, “With clever researchers on both sides of the efficiency fence, rummaging for forecasting variables, we are sure to find instances of ‘reliable’ return predictability that are in fact spurious.” To the extent that anomalies are caused by such biases, we should observe a decline in return-predictability out of sample. Alternatively, if anomalies are the result of mispricing, and if publication draws the attention of sophisticated investors, then we might expect anomalies to disappear postpublication because of arbitrage. Using index funds formed on the basis of size and value, 2 This logic can be extended to irrational return predictability as well. Industry research may lead academic research, such that the information in academic publications is redundant to market participants. 3 We thank Allan Timmermann for pointing out his possibility. 3 Schwert (2003) shows that the size and book-to-market effect have disappeared, and interprets the findings by stating, “the activities of practitioners who implement strategies to take advantage of anomalous behavior can cause the anomalies to disappear.” 4 Others argue that practitioners will not trade enough to fully eradicate anomalies. Rather, mispricing may continue at a reduced level. Delong, Shleifer, Summers, and Waldman (1990) show than systematic noise trader risk may allow mispricing to continue. Pontiff (1996, 2006) shows that other arbitrage costs, and in particular holding costs associated with idiosyncratic risk, can prevent sophisticated trades from entirely eliminating mispricing. 5 Shleifer and Vishny (1997) point out that these effects are greater if arbitrageurs are agents who are evaluated by uninformed principals that confuse volatility with performance. In the short run, publication may induce more acute return predictability. If characteristics are persistent over time, publication will trigger new flows of capital to characteristic portfolios, which, in turn, generate higher returns. These higher returns are temporary, since subsequent returns will be lower due to the reduced mispricing. We conduct our analysis using 82 different anomalies from 68 different studies. The period during which an anomaly is outside of its original sample but still pre-publication, is useful for estimating the effects of statistical biases. Using this framework, we estimate the effect of statistical bias to be about 10%. Thus, an in-sample finding that implies a 5% alpha is expected to produce a bias-free alpha of at least 4.5%. This finding is statistically insignificant—we cannot reject the hypothesis that there is no statistical bias. 4 To our knowledge, the first empirical examination of the effects of academic research on capital markets is Mittoo and Thompson’s (1990) study of the size effect. They use a regime switching model to illustrate a post-1983 difference in returns to size portfolios. 5 For further evidence of this effect see Duan, Hu, and McLean (2009 and 2010) and McLean (2010) 4 We estimate the average anomaly’s post-publication return decays by about 35%. Thus, an in-sample alpha of 5% is expected to decay to 3.25% post-publication. We attribute this effect due to both statistical biases, and to the activity of sophisticated traders who observe the finding. We can reject the hypothesis that post-publication return-predictability does not change, and we can also reject the hypothesis that there is no post-publication alpha. Combining this finding with an estimated statistical bias of 10% implies a lower bound on the publication effect of about 25%. These findings are robust to replacing publication date with Social Science Research Network (SSRN) posting date, and they do not appear to be caused by time trends in anomaly returns. We further investigate the effects of publication by studying traits that reflect whether publication increases trading in stocks that make up an anomaly portfolio. We find that variance, turnover, dollar volume, and short interest all increase out-of-sample and post-publication. This is consistent with the idea that academic research draws attention to anomalies, which in turn increases trading in the anomaly. As we mention above, Pontiff (1996 and 2006), and Shleifer and Vishny (1997) point out that costs and risks associated with arbitrage could prevent mispricing from being completely eliminated. If anomalies are the result of mispricing and if publication draws the attention of arbitrageurs, then the anomalies that decline the most post-publication should be those that are least costly to arbitrage. We find evidence of this effect","","","","","https://consensus.app/papers/does-academic-research-destroy-stock-return-mclean-pontiff/2c3c714a508751e281002df222b38e62/"
"The disappearing profitability of volatility-managed equity factors","Volatility timing strategies in equity factor portfolios lost profitability when arbitrage became less costly in the early 2000s, particularly for small-capitalization stocks.","Timotheos Angelidis, N. Tessaromatis",2023,6,"","","Journal of Financial Markets","1","10.1016/j.finmar.2023.100857","https://consensus.app/papers/the-disappearing-profitability-of-volatilitymanaged-angelidis-tessaromatis/41220cd76e555de7858bd5a4edc8ec2f/"
"Investing in Disappearing Anomalies","Prolonged decay of anomalies, particularly small-cap ones, significantly impacts portfolio decisions and leads to out-of-sample outperformance compared to other approaches.","Christopher S. Jones, Lukasz Pomorski",2016,21,"We argue that anomalies may experience prolonged decay after discovery and propose a Bayesian framework to study how that impacts portfolio decisions. Using the January effect and short-term index autocorrelations as examples of disappearing anomalies, we find that prolonged decay is empirically important, particularly for small-cap anomalies. Papers that document new anomalies without accounting for such decay may actually underestimate the original strength of the anomaly and imply an overstated level of the anomaly out of sample. We show that allowing for potential decay in the context of portfolio choice leads to out-of-sample outperformance relative to other approaches.","theoretical, modeling, or simulation study","Review of Finance","1","10.1093/rof/rfv065","https://consensus.app/papers/investing-in-disappearing-anomalies-jones-pomorski/5a1f0bb955a055cd9a569fb870707fe7/"
"Social media, news media and the stock market","High social media coverage leads to increased stock market volatility and trading volume, while high news media coverage leads to low volatility and low trading volume.","Peiran Jiao, Andre Veiga, A. Walther",2020,155,"Abstract: We contrast the impact of traditional news media and social media coverage on stock market volatility and trading volume. We develop a theoretical model of asset pricing and information processing, which allows for both rational traders and a variety of commonly studied behavioral biases. The model yields several novel and testable predictions about the impact of news and social media on asset prices. We then test the model’s theoretical predictions using a unique dataset which measures coverage of individual stocks in social and news media using a broad spectrum of print and online sources. Stocks with high social media coverage in one month experience high idiosyncratic volatility of returns and trading volume in the following month. Conversely, stocks with high news media coverage experience low volatility and low trading volume in the following month. These effects are statistically and economically significant and robust to controlling for stock and time fixed effects, as well as time-varying stock characteristics. The empirical evidence on news media is consistent with a market in which some traders are overconfident when interpreting new information. The evidence on social media is consistent with Tetlock (2011)’s “stale news” hypothesis (investors treat repeated information on social networks as though it were new) and with a model where investors’ perceptions are subject to random sentiment shocks.","longitudinal / panel data study","Journal of Economic Behavior & Organization","","10.2139/ssrn.2755933","https://consensus.app/papers/social-media-news-media-and-the-stock-market-jiao-veiga/f28f701112335d9eb885969c15b1901d/"
"Digesting Anomalies: An Investment Approach","The q-factor model effectively captures significant stock returns, outperforming the Fama-French 3-factor model and Carhart 4-factor model in capturing remaining anomalies.","Kewei Hou, Chen Xue, Lu Zhang, Lu Zhang",2015,1985,"An empirical q-factor model consisting of the market factor, a size factor, an investment factor, and a profitability factor largely summarizes the cross section of average stock returns. A comprehensive examination of nearly 80 anomalies reveals that about one-half of the anomalies are insignificant in the broad cross section. More importantly, with a few exceptions, the q-factor model's performance is at least comparable to, and in many cases better than that of the Fama-French (1993) 3-factor model and the Carhart (1997) 4-factor model in capturing the remaining significant anomalies.","theoretical, modeling, or simulation study","Review of Financial Studies","1","10.2139/ssrn.2152674","https://consensus.app/papers/digesting-anomalies-an-investment-approach-hou-xue/b3b5603ca423599395c9e94044b41636/"
"Regime-Based Portfolio Allocation Using Hidden Markov Models and Reinforcement Learning","The combined HMM-RL system improves risk-adjusted performance in tactical asset allocation by enhancing Hidden Markov Model-based regime detection and delivering stronger Sharpe ratios and lower drawdowns.","Ajay Kumar Verma, Nunik Srikandi Putri, Neo Paul Lesupi",2026,0,"This study develops a regime-aware portfolio allocation framework that integrates Markov switching models with Reinforcement Learning (RL) to dynamically allocate across equities (SPY), long-term Treasuries (TLT), and gold (GLD). Using daily ETF data from 2004-2025, we first characterize market behavior through a discrete Markov chain and then estimate a three-state Gaussian Hidden Markov Model (HMM) selected by the Bayesian Information Criterion (BIC). The estimated regimes-low-volatility, transitional, and high-volatility-exhibit strong persistence and state-dependent return dynamics consistent with recent findings on nonlinear market states (Ardia et al., 2024; Gupta&Pierdzioch, 2023). State-conditional analysis shows that SPY dominates in stable regimes, while TLT and GLD provide protection during stressed periods, motivating regime-conditioned allocation rules. We evaluate rule-based rotation and RL-driven strategies using a 30% out-of-sample test window with a one-day execution lag to avoid look-ahead bias. Both HMM-based allocations outperform a passive SPY benchmark, while the RL policy achieves the highest risk-adjusted performance, delivering the strongest Sharpe ratio and materially lower drawdowns, yet remains fully interpretable through discrete regime-dependent actions. Sensitivity analysis confirms the robustness of the three-state specification relative to two-state alternatives. Overall, the results demonstrate that RL can systematically enhance HMM-based regime detection, providing a transparent, adaptive, and empirically grounded framework for tactical asset allocation. The combined HMM-RL system provides a transparent, rules-based approach to tactical allocation that improves risk-adjusted performance relative to standard benchmark strategies.","theoretical, modeling, or simulation study","","","10.48550/arxiv.2605.27848","https://consensus.app/papers/regimebased-portfolio-allocation-using-hidden-markov-verma-putri/b0c5eb5f5b31533a9f5f10c324f9f6a6/"
"Mathematical Appendices to: 'The Probability of Backtest Overfitting'","The Probability of Backtest Overfitting (PBO) accurately assesses the probability of backtest overfitting in various scenarios, outperforming Monte Carlo Methods and Extreme Value Theory.","David H. Bailey, David H. Bailey, J. M. Borwein, J. M. Borwein, J. M. Borwein, Marcos López de Prado, Q. Zhu",2015,7,"We carry out several test cases to illustrate how the Probability of Backtest Overfitting (PBO) performs under different scenarios. We also assess the accuracy of PBO using two alternative approaches (Monte Carlo Methods and Extreme Value Theory). The paper ""The Probability of Backtest Overfitting"" to which these Appendices apply is available at the following URL: http://ssrn.com/abstract=2326253","other","","","10.2139/ssrn.2568435","https://consensus.app/papers/mathematical-appendices-to-the-probability-of-backtest-bailey-bailey/31fda79b7f695a84bd5323a39db6bb62/"
"Does it Pay to Follow Anomalies Research? International Evidence","Anomalies identified in the US are profitable in Europe, Japan, and Asia Pacific, but past performance of quantitative strategies in other regions does not help to predict out-of-sample winning strategies in the US.","Ondřej Tobek, Martin Hronec",2018,3,"We study out-of-sample decay on returns of 153 anomalies in equities documented in academic literature. We show that the decay in large cap universe of stocks in the US (65% of in-sample returns) can be explained by a drop in profitability of all quantitative strategies after 2003 and extensive data mining but not informed trading. This is supported by its nonexistence outside the US. We show that anomalies originally identified in the US are also profitable in Europe, Japan, and Asia Pacific. The anomalies in the other regions are more profitable than in the US after 2003. This can be partly explained by higher transaction costs there. Past performance of quantitative strategies in the regions other than the US does not help to pick out-of-sample winning strategies in the US.","longitudinal / panel data study","","","10.2139/ssrn.3133993","https://consensus.app/papers/does-it-pay-to-follow-anomalies-research-international-tobek-hronec/1c200dec6ffc5ba9a948fa198bc26dc1/"
"Deep momentum networks with market trend dynamics","Incorporating market-state information in TSMOM trading strategies improves performance and can generate profitable opportunities even during turbulent conditions.","Jaemin Song, Jaegi Jeon",2025,1,"Time-series momentum (TSMOM) trading strategies manage positions based on the persistence of return trends. Although long short-term memory (LSTM) deep neural architectures can enhance TSMOM, their performance often deteriorates during abrupt market trend changes. This study aims to improve TSMOM performance, particularly at critical moments marked by significant shifts in long- and short-term trends. To achieve this, we combine short- and long-term signals into a comprehensive market-state representation, employing supervised learning to incorporate these market dynamics into the proposed model. In our experiments, we generate market-state features, referred to as MTDP scores, by numerically capturing changes in market trends via an extreme gradient boosting (XGBoost) process. These MTDP scores are then applied within an LSTM-based trading strategy. A backtest on 99 continuous futures (1995-2021) demonstrates that incorporating MTDP scores enhances the Sharpe ratio, indicating the effectiveness of embedding market-state information in TSMOM. Notably, an 8-week fast momentum look-back window performed best over stable periods (1995-2019). However, during extreme market downturns, such as the COVID-19 crisis, a 20-week fast momentum window not only outperformed shorter windows (4- and 8-week signals) but also recovered more rapidly. These findings suggest that TSMOM strategies can benefit from dynamically adjusting fast momentum windows, consistently generating profitable opportunities even amid turbulent conditions.

Copyright: © 2025 Song, Jeon. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","theoretical, modeling, or simulation study","PLOS One","1","10.1371/journal.pone.0331391","https://consensus.app/papers/deep-momentum-networks-with-market-trend-dynamics-song-jeon/e9217605a45650d886ec1ae9bfa1318b/"
"Regime-Switching Factor Investing with Hidden Markov Models","The hidden Markov model-based regime-switching investing strategy, which switches factor models based on the current market regime, delivers higher absolute returns and outperforms individual factor models in traditional portfolio benchmarking metrics.","Matthew Wang, Yi-Hong Lin, I. Mikhelson",2020,23,"This study uses the hidden Markov model (HMM) to identify different market regimes in the US stock market and proposes an investment strategy that switches factor investment models depending on the current detected regime. We first backtested an array of different factor models over a roughly 10.5 year period from January 2007 to September 2017, then we trained the HMM on S&P 500 ETF historical data to identify market regimes of that period. By analyzing the relationship between factor model returns and different market regimes, we are able to establish the basis of our regime-switching investing model. We then back-tested our model on out-of-sample historical data from September 2017 to April 2020 and found that it both delivers higher absolute returns and performs better than each of the individual factor models according to traditional portfolio benchmarking metrics.","theoretical, modeling, or simulation study","","","10.3390/jrfm13120311","https://consensus.app/papers/regimeswitching-factor-investing-with-hidden-markov-wang-lin/054f6cf7f96459e5940a7062ad0f6ed4/"
"Abnormal Returns from the Common Stock Investments of the U.S. Senate","","Stephen M. Horan",2005,3,"","","Cfa Digest","","10.2469/dig.v35.n3.1733","https://consensus.app/papers/abnormal-returns-from-the-common-stock-investments-of-the-horan/f48b84236f0b5b60b6cdde18b7c987e7/"
"The Other Side of Value: The Gross Profitability Premium","","Thomas M. Arnold",2013,74,"","","","","10.2469/dig.v43.n2.56","https://consensus.app/papers/the-other-side-of-value-the-gross-profitability-premium-arnold/74649db3423e54aa80b04a93d72dfbce/"
"Does Cross-Sectional Asset Pricing Matter for the Macroeconomy?","","Roy Chen-Zhang, G. Segal",2023,0,"","","SSRN Electronic Journal","","10.2139/ssrn.4636589","https://consensus.app/papers/does-crosssectional-asset-pricing-matter-for-the-chen-zhang-segal/c321d8dc2bc85f8faa993b9a3448bb23/"
"Media Coverage and the Cross-Section of Stock Returns","","Joanne Li",2010,1,"","","Cfa Digest","","10.2469/dig.v40.n1.66","https://consensus.app/papers/media-coverage-and-the-crosssection-of-stock-returns-li/4f50b11957c85be5859a7e7d1815940a/"
"Improved LSTM hyperparameters alongside sentiment walk-forward validation for time series prediction","Optimizing hyperparameters and incorporating sentiment analysis alongside historical stock prices improves time series prediction accuracy in deep learning models.","Eko Putra Wahyuddin, R. Caraka, Robert Kurniawan, W. Caesarendra, Prana Ugiana Gio, Bens Pardamean",2024,18,"","","Journal of Open Innovation: Technology, Market, and Complexity","1","10.1016/j.joitmc.2024.100458","https://consensus.app/papers/improved-lstm-hyperparameters-alongside-sentiment-wahyuddin-caraka/897645a0ebf45e61869c9e95c9a3f7b9/"
"The Expected Returns on Machine-Learning Strategies","Machine learning-based anomaly trading strategies can earn profitable returns of up to 1.42%, despite high turnover rates and difficult-to-arbitrage stocks.","Vitor Azevedo, Christopher Hoegner, Mihail Velikov",2024,2,"This study assesses the expected returns of machine learning-based anomaly trading strategies, accounting for transaction costs, post-publication decay, and the post-decimalization era of high liquidity. Contrary to claims in prior literature, more sophisticated machine learning strategies are profitable, earning net out-of-sample monthly returns of up to 1.42%, despite having turnover rates exceeding 50% and selecting some difficult-to-arbitrage stocks. A trading strategy that employs a long short-term memory model to combine anomaly characteristics yields a six-factor generalized (net) alpha of 1.20% (t-stat of 3.46). While prevalent cost-mitigation techniques reduce turnover and costs, they do not improve net anomaly performance. Overall, we document return predictability from deep-learning models that cannot be explained by common risk factors or limits to arbitrage.","theoretical, modeling, or simulation study","SSRN Electronic Journal","","10.2139/ssrn.4702406","https://consensus.app/papers/the-expected-returns-on-machinelearning-strategies-azevedo-hoegner/b14f51e7be805786b4181f397894849c/"
"An Unbiased and Powerful Test for Superior Predictive Ability","","P. Hansen",2001,54,"","","","","","https://consensus.app/papers/an-unbiased-and-powerful-test-for-superior-predictive-hansen/63208392eda752fc85cc2b8624502853/"
"Does Academic Research Destroy Stock Return Predictability","Academic research can lead to a 32% lower stock return from publication-informed trading, with greater declines in predictors with higher in-sample returns.","R. D. Mclean, Jeffrey Pontiff, Pierluigi Balduzzi, Turan G. Bali, Brad Barber, David Chapman, Mark Bradshaw, Shane Corwin, Alex Edmans, Lian Fen, W. Ferson, Francesco Franzoni, Xiaohui Gao, Thomas J. Gilbert, Robin Greenwood, Bruce Grundy, Cam Harvey, Clifford G. Holderness, Darren J. Kisgen, Borja Larrain, O. Lamont, Jay R. Ritter, Ronnie Sadka, Paul Schultz, Ken Singleton, Bruno Skolnik, A. Shleifer, Jeremy C. Stein, Noah Stoffman, M. Suominen, Allan Timmermann, Michela Verado, Artie Woodgate, Jianfeng Yu, W. Ziemba",2016,881,"We study the out-of-sample and post-publication return predictability of 97 variables shown to predict cross-sectional stock returns. Portfolio returns are 26% lower out-of-sample and 58% lower post-publication. The out-of-sample decline is an upper bound estimate of data mining effects. We estimate a 32% (58%–26%) lower return from publication-informed trading. Post-publication declines are greater for predictors with higher in-sample returns, and returns are higher for portfolios concentrated in stocks with high idiosyncratic risk and low liquidity. Predictor portfolios exhibit post-publication increases in correlations with other published-predictor portfolios. Our findings suggest that investors learn about mispricing from academic publications.","longitudinal / panel data study","Journal of Finance","1","10.1111/jofi.12365","https://consensus.app/papers/does-academic-research-destroy-stock-return-mclean-pontiff/91c15861c4fc5b96bc84c44174fcd8ec/"
"The Price of Sin: The Effects of Social Norms on Markets","","D. Kidd",2010,202,"","","Cfa Digest","","10.2469/dig.v40.n1.18","https://consensus.app/papers/the-price-of-sin-the-effects-of-social-norms-on-markets-kidd/53b97b099b6b565b982c6439ca30ac8a/"
"Time-variation, multiple testing, and the factor zoo","Our Bayesian framework with Type-S error control yields more reliable frequency properties for inferences, leading to larger Sharpe ratios in portfolio applications compared to other methods.","Simon C. Smith",2022,1,"","","International Review of Financial Analysis","1","10.1016/j.irfa.2022.102394","https://consensus.app/papers/timevariation-multiple-testing-and-the-factor-zoo-smith/e1e724f6f8755bb19929daa32d59c1d7/"
"Media coverage and stock price synchronicity","Media coverage reduces stock price synchronicity, with stronger effects in countries with weak institutional infrastructures.","T. Dang, Man Dang, L. Hoang, Lily H. G. Nguyen, Hoàng-Long Phan",2019,111,"","other","International Review of Financial Analysis","1","10.1016/j.irfa.2019.101430","https://consensus.app/papers/media-coverage-and-stock-price-synchronicity-dang-dang/f4907923b11e59e3b3b712af3afaa267/"
